Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,2,Employee,20,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10031,1922,8063,81820,1,0.549297179,481,160.2230769,209.7948718,390
9979,1964,8048,81935,2,0.535925443,480,153.4645477,200.3300733,409
10002,1760,8242,95345,2,0.535992801,489,157.5030801,195.7802875,487
10011,1097,8877,110725,4,1.005194286,1099,228.2054795,189.5976027,584
10002,176,9819,117975,33,16.45590882,4412,1954.337097,190.2822581,620
10010,2588,7391,56015,1,0.534065934,471,134.1076389,194.4965278,288
10008,2303,7686,81635,1,0.526478817,486,154.4628713,202.0668317,404
10001,189,9812,117295,35,16.28857114,4530,1934.881301,190.7235772,615
10018,2166,7827,64570,1,0.509682571,471,144.2037618,202.4137931,319
10001,210,9785,116655,39,19.91150885,4936,2303.074275,211.3315217,552
10009,2448,7498,75070,1,0.505145369,461,135.3995037,186.2779156,403
9991,2379,7633,65705,1,0.504053648,477,138.5454545,192.6832845,341
9968,2310,7701,56010,1,0.510834671,492,147.3492647,205.9191176,272
10008,423,9565,115020,5,2.065247802,1261,433.7910959,196.9520548,584
10006,745,9261,114510,4,1.465120927,1273,333.3454231,197.7720207,579
10001,223,9757,116975,34,16.26147385,4569,1910.821667,194.9583333,600
10003,1813,8184,97255,2,0.584424673,686,165.0441767,195.2911647,498
10001,109,9886,117705,117,57.71582842,7238,3410.080992,194.553719,605
10020,1836,8162,83200,1,0.525648703,486,151.3075061,201.4527845,413
10004,346,9644,115600,4,2.020991603,1063,434.7901861,195.6006768,591
10002,2812,7190,56430,1,0.537292541,493,150.0296296,209,270
10005,98,9883,117555,122,60.73243378,7460,3565.823328,201.6380789,583
10011,630,9367,114370,5,1.52861852,1132,333.0953206,198.2149047,577
10005,189,9779,116975,33,16.6155922,4705,2015.90985,195.2838063,599
10001,560,9441,114655,3,1.456154385,1101,335.322314,189.5123967,605
10001,173,9815,117230,38,18.17638236,4892,2029.901361,199.3707483,588
10003,105,9857,117190,115,57.3429971,7259,3456.728988,201.0120069,583
10001,100,9901,117930,115,59.08649135,7234,3489.535188,193.0114566,611
10004,208,9785,116880,38,18.92303079,4845,2183.91958,204.3356643,572
10035,2347,7688,81305,1,0.551968112,487,154.1775,203.2625,400
10004,103,9901,117315,117,57.06697321,7212,3431.783051,198.8389831,590
10017,1470,8547,97030,2,0.551762005,464,153.0892495,196.8154158,493
10014,1057,8926,109620,4,0.987118035,812,218.1590106,193.6749117,566
10002,2125,7877,64575,1,0.526794641,478,144.3932927,196.875,328
10025,720,9270,112680,4,1.42244389,1175,328.7637931,194.2758621,580
10003,928,9060,111890,3,1.178046586,918,269.4334471,190.9385666,586
10002,1684,8311,99760,2,0.537592482,711,157.0505837,194.0856031,514
10001,2207,7785,89425,2,0.556344366,542,149.6302521,187.8676471,476
10014,364,9631,115710,4,1.753345317,1339,385.6456559,197.120954,587
10007,238,9769,117485,32,15.98211252,4437,2010.570962,191.6557912,613
10001,2581,7371,57075,1,0.528347165,473,137.5308219,195.4623288,292
10006,1980,8026,97535,2,0.537677394,611,152.006,195.07,500
10046,2623,7269,61525,1,0.541907227,451,147.3355482,204.4019934,301
10025,2028,7997,77255,1,0.527581047,493,147.959596,195.0883838,396
10003,1970,8033,50805,1,0.495051485,467,131.6470588,186.7830882,272
10015,411,9526,113185,8,2.867598602,1554,542.3803571,202.1160714,560
10001,226,9772,116700,36,19.16508349,4834,2309.088186,194.1763727,601
10001,2287,7707,67590,1,0.520547945,478,142.5909091,192.0170455,352
10003,111,9886,117820,118,57.68209537,7168,3258.988487,193.7828947,608
10010,2072,7925,70340,1,0.518081918,470,150.8837209,204.4767442,344
Average,,,,,,,,,
10006.84,1228.28,8762.72,96337.2,22.02,10.75817723,2211.12,933.3662288,196.9688727,490.02
