Total lanes,Express lanes,Bagging,Average interval,,,,,,
10005,1933,8054,81285,1,0.524537731,480,151.2377451,199.2279412,408
10030,1617,8372,78905,1,0.533798604,495,156.151671,202.840617,389
10013,212,9801,117490,33,16.33776091,4366,1928.643312,187.0859873,628
10009,99,9894,118060,120,58.3201119,7093,3404.407895,194.1776316,608
10006,1829,8177,99540,2,0.522086748,496,159.5366337,197.1089109,505
10001,207,9794,117030,34,16.64543546,4494,2047.698145,197.3524452,593
10013,530,9483,115750,4,1.729152102,1105,377.1380471,194.8653199,594
10013,351,9662,114845,7,3.286627384,1738,665.8818342,202.5485009,567
10011,1896,8096,64610,1,0.514733793,483,134.8588235,190.0294118,340
10011,322,9676,115920,4,1.597243033,1031,368.4381443,199.1752577,582
10002,101,9895,117625,120,60.42771446,7436,3527.672185,194.7433775,604
10004,2335,7669,55680,1,0.49980008,494,134.257732,191.3402062,291
10030,2447,7540,68485,1,0.513060818,498,140.1174785,196.2320917,349
10022,2747,7275,50195,1,0.519956097,453,125.6315789,188.7030075,266
10004,183,9767,116805,32,14.40263894,4008,1697.150165,192.7475248,606
10002,1922,8055,74515,1,0.522895421,485,140.8195489,186.754386,399
10003,2514,7489,63555,1,0.508147556,482,139.347561,193.7652439,328
10009,971,9028,111535,3,0.892796483,695,206.0436242,187.1392617,596
10015,299,9716,115180,8,3.502945582,1789,699.5837838,207.5315315,555
10001,251,9748,117460,37,19.10878912,4920,2286.37585,199.7619048,588
10002,300,9687,114675,6,2.544091182,1544,523.8385417,199.0885417,576
10007,2051,7956,97485,2,0.545518137,603,157.8217213,199.7643443,488
10007,2011,7968,80675,1,0.517737584,487,149.1980198,199.6905941,404
10015,2146,7841,52680,1,0.505242137,486,138.9007353,193.6764706,272
10003,1683,8316,95925,2,0.55903229,704,153.2035573,189.5750988,506
10001,199,9802,116675,35,16.920008,4559,1950.586885,191.2704918,610
10003,230,9759,116700,33,15.43336999,4261,1828.403685,195.4773869,597
9979,1595,8410,99410,2,0.562681631,704,167.3446215,198.0278884,502
10005,672,9328,114460,3,1.137331334,782,273.2692967,196.329331,583
Average,,,,,,,,,
10007.66,1206.64,8789.92,94872,22.06,10.76924165,2182.88,935.1979622,195.7984019,483.92
,,,,,,,,,
Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,0,Employee,30,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10006,2009,7936,86635,2,0.517289626,489,148.7213115,202.8922717,427
10031,2196,7835,54740,1,0.488585385,419,142.4021352,194.8042705,281
9983,2086,7917,56915,1,0.502253832,488,139.6440678,192.9322034,295
10042,2402,7586,36245,1,0.499203346,433,122.6492147,189.7643979,191
10014,3214,6800,35165,1,0.478130617,459,124.1483516,193.2142857,182
10043,2506,7537,41065,1,0.444389127,462,138.01,205.325,200
10016,2455,7539,54925,1,0.479033546,460,130.9893238,195.4626335,281
10030,2158,7872,57480,1,0.494117647,473,138.8776224,200.979021,286
